,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average,90% Confidence
100,1.0,0.888888888888889,0.8166666666666668,0.9814814814814815,0.7166666666666667,0.9444444444444443,0.8833333333333334,0.8999999999999999,0.9666666666666667,0.9833333333333334,0.9081481481481483,0.1379092235154837
150,0.6666666666666666,0.5333333333333333,0.5666666666666668,0.6666666666666669,0.5166666666666667,0.5499999999999999,0.9444444444444443,0.7222222222222223,0.6,0.8166666666666668,0.6583333333333333,0.2147058082872381
200,0.6111111111111112,0.5333333333333333,0.6166666666666667,0.3666666666666667,0.5000000000000001,0.6,0.7166666666666667,0.6296296296296297,0.5333333333333333,0.65,0.5757407407407408,0.1515037993304086
250,0.6851851851851851,0.5333333333333333,0.6060606060606061,0.4833333333333334,0.46666666666666673,0.5666666666666667,0.6833333333333335,0.7037037037037037,0.5,0.6333333333333334,0.5861616161616163,0.13872723376946292
300,0.5833333333333334,0.55,0.5,0.45,0.5833333333333334,0.65,0.7000000000000001,0.7222222222222223,0.55,0.6,0.5888888888888888,0.13185449773142535
350,0.49999999999999994,0.6,0.5757575757575757,0.48333333333333334,0.5,0.5555555555555555,0.5333333333333333,0.6296296296296297,0.55,0.6666666666666666,0.5594276094276094,0.09301746239173685
400,0.5185185185185185,0.5555555555555555,0.5909090909090909,0.5166666666666667,0.4666666666666666,0.6833333333333335,0.5499999999999999,0.6666666666666666,0.5333333333333333,0.6296296296296295,0.5711279461279462,0.10947198091231874
450,0.6296296296296297,0.5333333333333333,0.5757575757575757,0.5333333333333333,0.4833333333333334,0.65,0.5740740740740741,0.6296296296296297,0.5,0.5740740740740741,0.5683164983164983,0.08804096159486315
500,0.6666666666666666,0.5,0.5166666666666667,0.4166666666666667,0.4833333333333334,0.5833333333333334,0.5,0.5925925925925927,0.5,0.6296296296296295,0.538888888888889,0.1191536718783161
550,0.5833333333333334,0.5166666666666667,0.5666666666666668,0.4666666666666666,0.5333333333333333,0.6,0.5,0.5740740740740741,0.5666666666666667,0.6666666666666665,0.5574074074074075,0.08802956874537717
600,0.46666666666666673,0.4500000000000001,0.6000000000000001,0.6166666666666667,0.4166666666666667,0.6166666666666666,0.5370370370370371,0.5925925925925926,0.6666666666666666,0.574074074074074,0.5537037037037038,0.1296690695276236
650,0.49999999999999994,0.5333333333333333,0.6,0.5333333333333333,0.55,0.5666666666666668,0.4444444444444445,0.6111111111111112,0.5666666666666667,0.6296296296296297,0.5535185185185185,0.08579249958722321
700,0.6333333333333334,0.6166666666666667,0.611111111111111,0.6333333333333334,0.55,0.5833333333333334,0.5370370370370371,0.5925925925925926,0.5499999999999999,0.7037037037037037,0.6011111111111112,0.07830355736572919
750,0.6,0.5,0.5740740740740741,0.6,0.6000000000000001,0.5833333333333334,0.5,0.6111111111111112,0.5833333333333334,0.5925925925925926,0.5744444444444444,0.06343925607485998
800,0.6166666666666667,0.5666666666666668,0.46296296296296297,0.6166666666666667,0.5333333333333333,0.5666666666666668,0.6481481481481481,0.6111111111111112,0.65,0.611111111111111,0.5883333333333334,0.08964889234440551
850,0.6666666666666666,0.65,0.648148148148148,0.5555555555555555,0.6333333333333333,0.7222222222222222,0.5,0.49999999999999994,0.6333333333333334,0.6296296296296297,0.6138888888888889,0.1131814178268956
900,0.7166666666666668,0.5166666666666667,0.6833333333333332,0.6111111111111112,0.6333333333333334,0.5185185185185185,0.5925925925925926,0.611111111111111,0.5499999999999999,0.6666666666666666,0.61,0.10595786402580652
