,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average,90% Confidence
100,0.29880478087649404,0.27091633466135456,0.28286852589641437,0.2649402390438247,0.24302788844621515,0.24900398406374502,0.250996015936255,0.24900398406374502,0.26095617529880477,0.2410358565737052,0.26115537848605574,0.02910277167967838
150,0.29282868525896416,0.28884462151394424,0.2968127490039841,0.25697211155378485,0.2450199203187251,0.2729083665338645,0.2649402390438247,0.2450199203187251,0.24302788844621515,0.300796812749004,0.2707171314741036,0.035726957852664644
200,0.2689243027888446,0.27091633466135456,0.28087649402390436,0.24302788844621515,0.24701195219123506,0.28087649402390436,0.2868525896414343,0.2589641434262948,0.250996015936255,0.32270916334661354,0.2711155378486056,0.036880308241790526
250,0.26693227091633465,0.2689243027888446,0.3147410358565737,0.24302788844621515,0.2549800796812749,0.2649402390438247,0.2968127490039841,0.2689243027888446,0.2589641434262948,0.2908366533864542,0.2729083665338645,0.03363904668152625
300,0.2729083665338645,0.300796812749004,0.30278884462151395,0.24900398406374502,0.25298804780876494,0.3147410358565737,0.30677290836653387,0.27689243027888444,0.2589641434262948,0.2848605577689243,0.28207171314741036,0.036960275888195546
350,0.2848605577689243,0.300796812749004,0.30876494023904383,0.2549800796812749,0.25697211155378485,0.33266932270916333,0.3247011952191235,0.2788844621513944,0.2689243027888446,0.3107569721115538,0.2922310756972112,0.042848352446230926
400,0.2868525896414343,0.33067729083665337,0.3047808764940239,0.2549800796812749,0.26294820717131473,0.35856573705179284,0.33067729083665337,0.27091633466135456,0.2649402390438247,0.30677290836653387,0.297211155378486,0.054431016174339764
450,0.32270916334661354,0.33067729083665337,0.3207171314741036,0.26294820717131473,0.26693227091633465,0.3565737051792829,0.3286852589641434,0.2788844621513944,0.2948207171314741,0.3107569721115538,0.30737051792828685,0.04773163344430936
500,0.29880478087649404,0.3386454183266932,0.3207171314741036,0.2649402390438247,0.2788844621513944,0.3665338645418327,0.3147410358565737,0.29880478087649404,0.30677290836653387,0.3047808764940239,0.3093625498007968,0.044855918545078914
550,0.27689243027888444,0.32270916334661354,0.3147410358565737,0.27091633466135456,0.2848605577689243,0.34462151394422313,0.3286852589641434,0.29282868525896416,0.2948207171314741,0.3187250996015936,0.30498007968127494,0.037998667800502144
600,0.2948207171314741,0.3047808764940239,0.31274900398406374,0.2848605577689243,0.28087649402390436,0.3784860557768924,0.32669322709163345,0.2968127490039841,0.3107569721115538,0.31673306772908366,0.31075697211155384,0.043295772589525085
650,0.3107569721115538,0.3187250996015936,0.31274900398406374,0.2908366533864542,0.29282868525896416,0.3884462151394422,0.3426294820717131,0.300796812749004,0.3147410358565737,0.3286852589641434,0.32011952191235066,0.04473608525087336
700,0.29880478087649404,0.3247011952191235,0.3187250996015936,0.3107569721115538,0.29880478087649404,0.3884462151394422,0.33067729083665337,0.28884462151394424,0.31274900398406374,0.3426294820717131,0.3215139442231076,0.04449906961750621
750,0.3147410358565737,0.3107569721115538,0.33266932270916333,0.31274900398406374,0.30278884462151395,0.3924302788844622,0.33266932270916333,0.3047808764940239,0.30677290836653387,0.3545816733067729,0.3264940239043825,0.044166083233784154
800,0.32669322709163345,0.3147410358565737,0.34462151394422313,0.30677290836653387,0.300796812749004,0.40039840637450197,0.3286852589641434,0.30677290836653387,0.31274900398406374,0.36852589641434264,0.33107569721115543,0.04966616024135257
850,0.3286852589641434,0.32270916334661354,0.3466135458167331,0.3247011952191235,0.30876494023904383,0.3924302788844622,0.3426294820717131,0.3187250996015936,0.3207171314741036,0.3784860557768924,0.3384462151394423,0.04263232584370515
900,0.3426294820717131,0.3147410358565737,0.3386454183266932,0.33665338645418325,0.3187250996015936,0.3844621513944223,0.34860557768924305,0.3187250996015936,0.3386454183266932,0.3844621513944223,0.3426294820717132,0.03865832134125108
950,0.3426294820717131,0.3147410358565737,0.33266932270916333,0.3286852589641434,0.3207171314741036,0.38645418326693226,0.3565737051792829,0.3147410358565737,0.3545816733067729,0.38247011952191234,0.3434262948207172,0.040851195249318316
1000,0.3645418326693227,0.3247011952191235,0.3426294820717131,0.33067729083665337,0.32270916334661354,0.38645418326693226,0.350597609561753,0.31673306772908366,0.34860557768924305,0.39442231075697204,0.3482071713147411,0.04162184395959566
1050,0.36055776892430286,0.3386454183266932,0.3426294820717131,0.32669322709163345,0.33266932270916333,0.3884462151394422,0.35856573705179284,0.3346613545816733,0.34860557768924305,0.3844621513944223,0.351593625498008,0.03326192440330537
