,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average,90% Confidence
100,1.0,0.888888888888889,0.8166666666666668,0.9814814814814815,0.7166666666666667,0.9444444444444443,0.8833333333333334,0.8999999999999999,0.9666666666666667,0.9833333333333334,0.9081481481481483,0.1379092235154837
150,1.0,0.888888888888889,0.8166666666666668,0.9814814814814815,0.7166666666666667,0.9444444444444443,0.8833333333333334,0.8999999999999999,0.9666666666666667,0.9833333333333334,0.9081481481481483,0.1379092235154837
200,0.9166666666666666,0.8333333333333334,0.8333333333333335,0.611111111111111,0.7500000000000001,0.9666666666666667,0.9,0.7000000000000001,0.8787878787878788,0.9242424242424243,0.8314141414141414,0.17528712341788974
250,0.7424242424242423,0.712121212121212,0.7272727272727274,0.7333333333333334,0.6666666666666666,0.8484848484848485,0.6666666666666666,0.65,0.7592592592592592,0.7727272727272728,0.7278956228956229,0.09245022613933503
300,0.7333333333333334,0.8181818181818182,0.8166666666666668,0.8636363636363636,0.7333333333333334,0.787878787878788,0.8166666666666669,0.8166666666666665,0.7424242424242423,0.7575757575757577,0.7886363636363637,0.06992612953466779
350,0.8939393939393939,0.893939393939394,0.8166666666666668,0.9242424242424243,0.7575757575757577,0.7333333333333334,0.7121212121212123,0.7424242424242425,0.8939393939393939,0.7833333333333335,0.8151515151515152,0.12467485615844418
400,0.8666666666666667,0.8484848484848485,0.7962962962962962,0.8181818181818182,0.75,0.712121212121212,0.8484848484848485,0.8833333333333333,0.8666666666666668,0.787878787878788,0.8178114478114479,0.0871559765496058
450,0.888888888888889,0.8333333333333334,0.8166666666666668,0.8333333333333334,0.7833333333333335,0.8166666666666668,0.7333333333333333,0.8333333333333334,0.8518518518518517,0.8833333333333334,0.8274074074074076,0.07100307598160213
500,0.9074074074074074,0.8703703703703702,0.8166666666666665,0.8787878787878788,0.8666666666666667,0.8181818181818182,0.8333333333333335,0.8148148148148148,0.8000000000000002,0.8166666666666668,0.8422895622895623,0.055714081484118494
550,0.8888888888888888,0.8148148148148148,0.787878787878788,0.8939393939393939,0.8000000000000002,0.787878787878788,0.8181818181818182,0.8703703703703702,0.8484848484848485,0.8166666666666668,0.8327104377104378,0.06252728431674587
600,0.7407407407407408,0.8166666666666668,0.8148148148148148,0.8333333333333335,0.7222222222222222,0.8030303030303031,0.8787878787878788,0.9333333333333332,0.8333333333333335,0.8148148148148148,0.8191077441077441,0.09426519155593369
650,0.7962962962962963,0.8181818181818183,0.8833333333333333,0.7666666666666667,0.7407407407407408,0.8833333333333333,0.7727272727272728,0.8666666666666667,0.8333333333333334,0.7833333333333333,0.8144612794612796,0.0794683702781884
700,0.7407407407407406,0.787878787878788,0.8666666666666668,0.8484848484848485,0.851851851851852,0.8666666666666668,0.8333333333333335,0.9074074074074074,0.8333333333333335,0.7777777777777778,0.8314141414141416,0.07709920169438515
750,0.8703703703703702,0.8181818181818182,0.8333333333333331,0.8666666666666668,0.7592592592592592,0.8666666666666667,0.8833333333333334,0.7833333333333333,0.9500000000000001,0.8166666666666668,0.8447811447811449,0.08529298946535865
800,0.7962962962962963,0.8030303030303031,0.8333333333333334,0.7000000000000001,0.7000000000000001,0.8333333333333334,0.7407407407407406,0.7962962962962963,0.8500000000000001,0.7777777777777778,0.783080808080808,0.08371273466486273
850,0.8484848484848486,0.8484848484848485,0.8703703703703702,0.8500000000000001,0.7666666666666667,0.8518518518518517,0.8999999999999999,0.8636363636363636,0.8166666666666668,0.7407407407407408,0.8356902356902356,0.07547414912463427
900,0.7333333333333334,0.7727272727272728,0.7777777777777778,0.7424242424242423,0.75,0.7777777777777777,0.8148148148148148,0.8703703703703702,0.8333333333333335,0.7592592592592592,0.7831818181818182,0.06802763365260386
950,0.8166666666666668,0.8787878787878789,0.7592592592592592,0.7424242424242425,0.7222222222222222,0.7592592592592592,0.8000000000000002,0.8148148148148148,0.8166666666666668,0.7592592592592592,0.7869360269360269,0.07285726787857343
1000,0.8000000000000002,0.8181818181818182,0.9,0.8636363636363636,0.9074074074074074,0.7666666666666666,0.8333333333333335,0.888888888888889,0.8500000000000001,0.7777777777777777,0.8405892255892254,0.07812436735433331
1050,0.7777777777777778,0.8333333333333334,0.8703703703703702,0.8787878787878789,0.7166666666666667,0.8030303030303031,0.7833333333333333,0.7999999999999999,0.8333333333333335,0.8833333333333333,0.817996632996633,0.08193387369680734
