,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average,90% Confidence
100,1.0,1.0,1.0,1.0,1.0,0.9833333333333334,1.0,1.0,0.9500000000000002,1.0,0.9933333333333334,0.025125544598580216
150,0.8666666666666668,0.9666666666666667,0.9333333333333335,0.9166666666666666,0.9833333333333334,0.9000000000000002,0.9833333333333334,0.9500000000000001,0.8833333333333334,0.9833333333333334,0.9366666666666668,0.06804029641876369
200,0.9333333333333332,0.9833333333333334,0.9833333333333334,0.9500000000000001,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9166666666666666,0.9833333333333334,0.9500000000000001,0.9599999999999997,0.03510732703773979
250,0.9333333333333335,0.9833333333333334,0.9833333333333334,0.9666666666666668,0.9833333333333334,0.9833333333333334,1.0,0.9833333333333334,0.9666666666666667,0.9833333333333334,0.9766666666666666,0.027957125146652995
300,0.9333333333333332,0.9833333333333334,0.9833333333333334,0.8666666666666667,0.9500000000000001,0.9833333333333334,0.9666666666666667,0.9666666666666668,0.9833333333333334,1.0,0.9616666666666667,0.06012407101070499
350,0.9666666666666668,0.9833333333333334,0.9833333333333334,0.9666666666666667,0.9500000000000001,0.9833333333333334,0.9666666666666667,1.0,0.9666666666666668,0.9666666666666667,0.9733333333333334,0.02193137333333943
400,0.9666666666666668,0.9833333333333334,0.9500000000000001,0.9666666666666667,0.9500000000000001,1.0,1.0,0.9500000000000001,0.9833333333333334,0.9666666666666667,0.9716666666666667,0.03015563833335043
450,0.9833333333333334,0.9666666666666667,0.9499999999999998,0.9833333333333334,1.0,0.9333333333333332,0.9833333333333334,0.9666666666666668,0.9833333333333334,0.9499999999999998,0.97,0.0319701957236319
500,0.9666666666666667,1.0,0.9666666666666668,0.9666666666666667,1.0,0.9500000000000001,0.9666666666666668,0.9333333333333332,0.9833333333333334,0.9833333333333334,0.9716666666666669,0.0325525786748043
550,0.9333333333333335,0.9666666666666668,0.9666666666666667,0.9500000000000001,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9166666666666669,0.9833333333333334,0.9500000000000001,0.9616666666666667,0.036882056457843974
600,0.9666666666666668,0.9833333333333334,0.9833333333333334,0.9500000000000001,0.9666666666666668,1.0,0.9333333333333335,0.9833333333333334,0.9833333333333334,1.0,0.975,0.03301108827953603
650,0.9500000000000001,0.9833333333333334,0.9333333333333332,0.9833333333333334,1.0,0.9666666666666667,1.0,0.9333333333333332,1.0,1.0,0.975,0.0429100364116124
700,0.9666666666666668,0.9833333333333334,0.9666666666666667,0.9833333333333334,0.9666666666666667,0.9333333333333332,0.9666666666666667,0.9833333333333334,1.0,0.9166666666666666,0.9666666666666666,0.038769557011843765
